"nid","isbn"
"3289","book_ys1012_045"
"3290","book_ys1012_046"
"3291","book_ys1012_047"
"3292","book_ys1012_048"
"3293","book_ys1012_049"
"3294","book_ys1012_050"
"3295","book_ys1012_051"
"3296","book_ys1012_052"
"5480","book_dh46_001"
"5481","book_dh46_002"
"5482","book_dh46_003"
"5483","book_dh46_004"
"5484","book_dh46_005"
"5485","book_dh46_006"
"5486","book_dh46_007"
"5487","book_dh46_008"
"5488","book_dh46_009"
"5489","book_dh46_010"
"5490","book_dh46_011"
"5491","book_dh46_012"
"5492","book_dh79_013"
"5493","book_dh79_014"
"5494","book_dh79_015"
"5495","book_dh79_016"
"5496","book_dh79_017"
"5497","book_dh79_018"
"5498","book_dh79_019"
"5499","book_dh79_020"
"5500","book_dh79_021"
"5501","book_dh79_022"
"5502","book_dh79_023"
"5503","book_dh79_024"
